Place,StateCode,Physicians,HealthCosts,WaterQuality,AirQuality
fort_yukon,ak,18,118.4,84.0,83.0
four_mile_road,ak,?,?,?,?
fox,ak,198,117.1,50.0,82.0
fox_river,ak,155,119.5,30.0,85.0
fritz_creek,ak,155,119.5,30.0,85.0
funny_river,ak,155,119.5,30.0,86.0
galena,ak,18,118.4,84.0,85.0
gambell,ak,122,118.3,29.0,85.0
gateway,ak,113,115.8,29.0,80.0
glacier_view,ak,113,115.8,29.0,86.0
goldstream,ak,198,117.1,50.0,81.0
golovin,ak,122,118.3,29.0,85.0
goodnews_bay,ak,95,113.8,83.0,86.0
grayling,ak,18,118.4,84.0,85.0
gustavus,ak,0,116.6,84.0,84.0
haines,ak,197,116.6,84.0,86.0
halibut_cove,ak,155,119.5,30.0,83.0
happy_valley,ak,155,119.5,30.0,85.0
harding-birch_lakes,ak,198,117.1,50.0,85.0
healy,ak,0,118.4,84.0,86.0
hollis,ak,142,116.6,83.0,85.0
holy_cross,ak,18,118.4,84.0,85.0
homer,ak,155,119.5,30.0,75.0
hoonah,ak,0,116.6,84.0,84.0
hope,ak,?,?,?,?
houston,ak,113,115.8,29.0,82.0
hughes,ak,18,118.4,84.0,85.0
huslia,ak,18,118.4,84.0,85.0
hydaburg,ak,142,116.6,83.0,85.0
hyder,ak,?,?,?,?
igiugig,ak,0,118.4,84.0,86.0
iliamna,ak,0,118.4,84.0,86.0
juneau,ak,256,116.1,50.0,81.0
kachemak,ak,155,119.5,30.0,85.0
kaktovik,ak,31,118.4,84.0,86.0
kalifornsky,ak,155,119.5,30.0,85.0
kaltag,ak,18,118.4,84.0,85.0
karluk,ak,202,120.4,29.0,86.0
kasaan,ak,142,116.6,83.0,85.0
kasigluk,ak,95,113.8,83.0,86.0
kasilof,ak,155,119.5,30.0,85.0
kenai,ak,155,119.5,30.0,83.0
ketchikan,ak,175,116.8,30.0,42.0
kiana,ak,77,118.4,31.0,85.0
king_cove,ak,0,118.4,83.0,86.0
king_salmon,ak,112,118.4,83.0,86.0
kipnuk,ak,95,113.8,83.0,86.0
kivalina,ak,77,118.4,31.0,85.0
klawock,ak,142,116.6,83.0,83.0
klukwan,ak,0,116.6,84.0,86.0
knik_river,ak,113,115.8,29.0,84.0
knik-fairview,ak,113,115.8,29.0,80.0
kobuk,ak,77,118.4,31.0,85.0
kodiak,ak,202,120.4,29.0,84.0
kodiak_station,ak,202,120.4,29.0,83.0
kokhanok,ak,0,118.4,84.0,86.0
koliganek,ak,260,114.9,29.0,86.0
kongiganak,ak,95,113.8,83.0,86.0
kotzebue,ak,77,118.4,31.0,83.0
koyuk,ak,122,118.3,29.0,85.0
koyukuk,ak,18,118.4,84.0,85.0
kupreanof,ak,157,116.6,29.0,85.0
kwethluk,ak,95,113.8,83.0,86.0
kwigillingok,ak,95,113.8,83.0,86.0
lake_minchumina,ak,18,118.4,84.0,85.0
larsen_bay,ak,202,120.4,29.0,86.0
lazy_mountain,ak,113,115.8,29.0,84.0
levelock,ak,0,118.4,84.0,86.0
lime_village,ak,95,113.8,83.0,81.0
livengood,ak,?,?,?,?
lowell_point,ak,155,119.5,30.0,86.0
lower_kalskag,ak,95,113.8,83.0,81.0
lutak,ak,197,116.6,84.0,86.0
manley_hot_springs,ak,18,118.4,84.0,86.0
manokotak,ak,260,114.9,29.0,86.0
mcgrath,ak,18,118.4,84.0,85.0
meadow_lakes,ak,113,115.8,29.0,80.0
mekoryuk,ak,95,113.8,83.0,86.0
metlakatla,ak,142,116.6,83.0,76.0
minto,ak,18,118.4,84.0,86.0
moose_creek,ak,198,117.1,50.0,80.0
moose_pass,ak,155,119.5,30.0,85.0
mosquito_lake,ak,197,116.6,84.0,86.0
mud_bay,ak,197,116.6,84.0,86.0
naknek,ak,112,118.4,83.0,86.0
nanwalek,ak,155,119.5,30.0,83.0
napakiak,ak,95,113.8,83.0,86.0
napaskiak,ak,95,113.8,83.0,86.0
naukati_bay,ak,142,116.6,83.0,85.0
nelson_lagoon,ak,0,118.4,83.0,86.0
nenana,ak,18,118.4,84.0,86.0
new_stuyahok,ak,260,114.9,29.0,86.0
newhalen,ak,0,118.4,84.0,86.0
newtok,ak,95,113.8,83.0,86.0
nightmute,ak,95,113.8,83.0,86.0
nikiski,ak,155,119.5,30.0,85.0
nikolaevsk,ak,155,119.5,30.0,85.0
nikolai,ak,18,118.4,84.0,85.0
nikolski,ak,105,118.4,84.0,86.0
ninilchik,ak,155,119.5,30.0,85.0
noatak,ak,77,118.4,31.0,85.0
nome,ak,122,118.3,29.0,84.0
nondalton,ak,0,118.4,84.0,86.0
noorvik,ak,77,118.4,31.0,85.0
north_pole,ak,198,117.1,50.0,76.0
northway,ak,59,118.4,84.0,86.0
nuiqsut,ak,31,118.4,84.0,86.0
