Place,StateCode,County
nunapitchuk,ak,bethel_census_area
old_harbor,ak,kodiak_island_borough
oscarville,ak,bethel_census_area
ouzinkie,ak,kodiak_island_borough
palmer,ak,matanuska-susitna_borough
paxson,ak,valdez-cordova_census_area
pedro_bay,ak,lake_and_peninsula_borough
pelican,ak,hoonah-angoon_census_area
perryville,ak,lake_and_peninsula_borough
petersburg,ak,petersburg_census_area
pilot_point,ak,lake_and_peninsula_borough
pilot_station,ak,wade_hampton_census_area
pitkas_point,ak,wade_hampton_census_area
platinum,ak,bethel_census_area
pleasant_valley,ak,fairbanks_north_star_borough
point_baker,ak,prince_of_wales-hyder_census_area
point_hope,ak,north_slope_borough
point_lay,ak,north_slope_borough
point_mackenzie,ak,matanuska-susitna_borough
port_alexander,ak,petersburg_census_area
port_alsworth,ak,lake_and_peninsula_borough
port_clarence,ak,nome_census_area
port_graham,ak,kenai_peninsula_borough
port_heiden,ak,lake_and_peninsula_borough
port_lions,ak,kodiak_island_borough
port_protection,ak,prince_of_wales-hyder_census_area
primrose,ak,kenai_peninsula_borough
prudhoe_bay,ak,north_slope_borough
quinhagak,ak,bethel_census_area
rampart,ak,yukon-koyukuk_census_area
red_devil,ak,bethel_census_area
red_dog_mine,ak,northwest_arctic_borough
ridgeway,ak,kenai_peninsula_borough
ruby,ak,yukon-koyukuk_census_area
russian_mission,ak,wade_hampton_census_area
salamatof,ak,kenai_peninsula_borough
salcha,ak,fairbanks_north_star_borough
sand_point,ak,aleutians_east_borough
savoonga,ak,nome_census_area
saxman,ak,ketchikan_gateway_borough
scammon_bay,ak,wade_hampton_census_area
selawik,ak,northwest_arctic_borough
seldovia,ak,kenai_peninsula_borough
seldovia_village,ak,kenai_peninsula_borough
seward,ak,kenai_peninsula_borough
shageluk,ak,yukon-koyukuk_census_area
shaktoolik,ak,nome_census_area
shishmaref,ak,nome_census_area
shungnak,ak,northwest_arctic_borough
silver_springs,ak,valdez-cordova_census_area
sitka,ak,sitka_city_and_borough
skagway,ak,skagway_municipality
skwentna,ak,matanuska-susitna_borough
slana,ak,valdez-cordova_census_area
sleetmute,ak,bethel_census_area
soldotna,ak,kenai_peninsula_borough
south_naknek,ak,bristol_bay_borough
south_van_horn,ak,fairbanks_north_star_borough
st._george,ak,aleutians_west_census_area
st._mary's,ak,wade_hampton_census_area
st._michael,ak,nome_census_area
st._paul,ak,aleutians_west_census_area
stebbins,ak,nome_census_area
steele_creek,ak,fairbanks_north_star_borough
sterling,ak,kenai_peninsula_borough
stevens_village,ak,yukon-koyukuk_census_area
stony_river,ak,bethel_census_area
sunrise,ak,kenai_peninsula_borough
susitna,ak,matanuska-susitna_borough
susitna_north,ak,matanuska-susitna_borough
sutton-alpine,ak,matanuska-susitna_borough
takotna,ak,yukon-koyukuk_census_area
talkeetna,ak,matanuska-susitna_borough
tanacross,ak,southeast_fairbanks_census_area
tanaina,ak,matanuska-susitna_borough
tanana,ak,yukon-koyukuk_census_area
tatitlek,ak,valdez-cordova_census_area
tazlina,ak,valdez-cordova_census_area
teller,ak,nome_census_area
tenakee_springs,ak,hoonah-angoon_census_area
tetlin,ak,southeast_fairbanks_census_area
thorne_bay,ak,prince_of_wales-hyder_census_area
togiak,ak,dillingham_census_area
tok,ak,southeast_fairbanks_census_area
toksook_bay,ak,bethel_census_area
tonsina,ak,valdez-cordova_census_area
trapper_creek,ak,matanuska-susitna_borough
tuluksak,ak,bethel_census_area
tuntutuliak,ak,bethel_census_area
tununak,ak,bethel_census_area
twin_hills,ak,dillingham_census_area
two_rivers,ak,fairbanks_north_star_borough
