Place,City,County,StateCode
gambell,gambell,nome_census_area,ak
game_creek,game_creek,hoonah-angoon_census_area,ak
gateway,gateway,matanuska-susitna_borough,ak
glacier_view,glacier_view,matanuska-susitna_borough,ak
glennallen,glennallen,valdez-cordova_census_area,ak
goldstream,goldstream,fairbanks_north_star_borough,ak
golovin,golovin,nome_census_area,ak
goodnews_bay,goodnews_bay,bethel_census_area,ak
grayling,grayling,yukon-koyukuk_census_area,ak
gulkana,gulkana,valdez-cordova_census_area,ak
gustavus,gustavus,hoonah-angoon_census_area,ak
haines,haines,haines_borough,ak
halibut_cove,halibut_cove,kenai_peninsula_borough,ak
happy_valley,happy_valley,kenai_peninsula_borough,ak
harding-birch_lakes,harding-birch_lakes,fairbanks_north_star_borough,ak
healy,healy,denali_borough,ak
hollis,hollis,prince_of_wales-hyder_census_area,ak
holy_cross,holy_cross,yukon-koyukuk_census_area,ak
homer,homer,kenai_peninsula_borough,ak
hoonah,hoonah,hoonah-angoon_census_area,ak
hooper_bay,hooper_bay,wade_hampton_census_area,ak
hope,hope,kenai_peninsula_borough,ak
houston,houston,matanuska-susitna_borough,ak
hughes,hughes,yukon-koyukuk_census_area,ak
huslia,huslia,yukon-koyukuk_census_area,ak
hydaburg,hydaburg,prince_of_wales-hyder_census_area,ak
hyder,hyder,prince_of_wales-hyder_census_area,ak
igiugig,igiugig,lake_and_peninsula_borough,ak
iliamna,iliamna,lake_and_peninsula_borough,ak
juneau,juneau,juneau_city_and_borough,ak
kachemak,kachemak,kenai_peninsula_borough,ak
kake,kake,petersburg_census_area,ak
kaktovik,kaktovik,north_slope_borough,ak
kalifornsky,kalifornsky,kenai_peninsula_borough,ak
kaltag,kaltag,yukon-koyukuk_census_area,ak
karluk,karluk,kodiak_island_borough,ak
kasaan,kasaan,prince_of_wales-hyder_census_area,ak
kasigluk,kasigluk,bethel_census_area,ak
kasilof,kasilof,kenai_peninsula_borough,ak
kenai,kenai,kenai_peninsula_borough,ak
kenny_lake,kenny_lake,valdez-cordova_census_area,ak
ketchikan,ketchikan,ketchikan_gateway_borough,ak
kiana,kiana,northwest_arctic_borough,ak
king_cove,king_cove,aleutians_east_borough,ak
king_salmon,king_salmon,bristol_bay_borough,ak
kipnuk,kipnuk,bethel_census_area,ak
kivalina,kivalina,northwest_arctic_borough,ak
klawock,klawock,prince_of_wales-hyder_census_area,ak
klukwan,klukwan,hoonah-angoon_census_area,ak
knik_river,knik_river,matanuska-susitna_borough,ak
knik-fairview,knik-fairview,matanuska-susitna_borough,ak
kobuk,kobuk,northwest_arctic_borough,ak
kodiak,kodiak,kodiak_island_borough,ak
kodiak_station,kodiak_station,kodiak_island_borough,ak
kokhanok,kokhanok,lake_and_peninsula_borough,ak
koliganek,koliganek,dillingham_census_area,ak
kongiganak,kongiganak,bethel_census_area,ak
kotlik,kotlik,wade_hampton_census_area,ak
kotzebue,kotzebue,northwest_arctic_borough,ak
koyuk,koyuk,nome_census_area,ak
koyukuk,koyukuk,yukon-koyukuk_census_area,ak
kupreanof,kupreanof,petersburg_census_area,ak
kwethluk,kwethluk,bethel_census_area,ak
kwigillingok,kwigillingok,bethel_census_area,ak
lake_louise,lake_louise,matanuska-susitna_borough,ak
lake_minchumina,lake_minchumina,yukon-koyukuk_census_area,ak
lakes,lakes,matanuska-susitna_borough,ak
larsen_bay,larsen_bay,kodiak_island_borough,ak
lazy_mountain,lazy_mountain,matanuska-susitna_borough,ak
levelock,levelock,lake_and_peninsula_borough,ak
lime_village,lime_village,bethel_census_area,ak
livengood,livengood,yukon-koyukuk_census_area,ak
lowell_point,lowell_point,kenai_peninsula_borough,ak
lower_kalskag,lower_kalskag,bethel_census_area,ak
lutak,lutak,haines_borough,ak
manley_hot_springs,manley_hot_springs,yukon-koyukuk_census_area,ak
manokotak,manokotak,dillingham_census_area,ak
marshall,marshall,wade_hampton_census_area,ak
mccarthy,mccarthy,valdez-cordova_census_area,ak
mcgrath,mcgrath,yukon-koyukuk_census_area,ak
mckinley_park,mckinley_park,denali_borough,ak
meadow_lakes,meadow_lakes,matanuska-susitna_borough,ak
mekoryuk,mekoryuk,bethel_census_area,ak
mendeltna,mendeltna,valdez-cordova_census_area,ak
mentasta_lake,mentasta_lake,valdez-cordova_census_area,ak
metlakatla,metlakatla,prince_of_wales-hyder_census_area,ak
minto,minto,yukon-koyukuk_census_area,ak
